Woord;Positive;Negative;Trust;Surprise;Joy;Sadness;Fear;Disgust;Anger;Anticipation
afleidende;0;1;0;0;0;0;0;0;1;1
afleiding;0;1;0;0;0;0;0;0;0;0
afleidingsmanoeuvre;1;0;0;1;0;0;0;0;0;0
aflopend;0;0;0;0;0;0;0;0;0;0
aflossing;1;0;0;0;0;0;0;0;0;0
afluisteren;0;1;0;0;0;0;0;0;0;0
afnemende;0;1;0;0;0;0;0;0;0;0
afrit;0;0;0;0;0;0;0;0;0;0
afschaffen;0;1;0;0;0;0;0;0;1;0
afschaffing;0;1;0;0;0;0;0;0;0;0
afscheid;0;0;0;0;0;0;0;0;0;0
afscheiding;0;0;0;0;0;0;0;1;0;0
afschrikken;0;0;0;0;0;0;0;0;0;0
afschrikwekkend;0;1;0;0;0;0;1;0;1;0
afschuwelijk;0;1;0;0;0;1;1;1;1;0
afschuwelijkheid;0;0;0;0;0;0;0;0;0;0
afsluitende;1;0;0;0;0;0;0;0;0;0
afsluiting;0;0;0;0;0;0;0;0;0;0
afspraak;0;0;0;0;0;0;0;0;0;0
afstaan;0;1;0;0;0;0;0;0;0;0
afstammeling;0;0;0;0;0;0;0;0;0;0
afstand;0;0;0;0;0;0;0;0;0;0
afstemmen;0;0;0;0;0;0;0;0;0;0
afstijgen;0;0;0;0;0;0;0;0;0;0
afstraffing;0;1;0;0;0;1;1;0;1;0
aftreden;0;1;0;0;0;1;1;1;1;0
aftrek;0;0;0;0;0;0;0;0;0;0
aftrekken;0;1;0;0;0;0;0;0;0;0
afvaart;0;0;0;0;0;0;0;0;0;0
afval;0;1;0;0;0;0;0;1;0;0
afvallige;0;0;0;0;0;0;0;0;0;0
afvalligheid;0;1;0;0;0;0;1;0;0;0
afwenden;0;0;0;0;0;0;0;0;0;0
afweren;0;0;0;0;0;0;0;0;0;0
afwerking;0;0;0;0;0;0;0;0;0;0
afwezig;0;1;0;0;0;1;0;0;0;0
afwezige;0;1;0;0;0;1;0;0;0;0
afwezigheid;0;1;0;0;0;1;1;0;0;0
afwijken;0;0;0;0;0;0;0;0;0;0
afwijkend;0;1;0;1;0;0;0;0;0;0
afwijkende;0;0;0;0;0;0;0;0;0;0
afwijking;0;1;0;1;0;1;1;0;0;0
afwijzing;0;1;0;0;0;1;1;1;1;0
afwikkelen;0;0;0;0;0;0;0;0;0;0
afwisselend;1;0;0;0;0;0;0;0;0;0
afzetting;0;0;0;0;0;0;0;0;0;0
afzien;0;1;0;0;0;0;0;0;0;0
afzijdig;0;1;0;0;0;0;0;0;0;0
afzonderlijk;0;0;0;0;0;0;0;0;0;0
afzuigkap;0;0;0;0;0;0;0;0;0;0
aga;1;0;1;0;0;0;1;0;0;0
agaat;0;0;0;0;0;0;0;0;0;0
agent;0;0;0;0;0;0;0;0;0;0
agentschap;0;0;0;0;0;0;0;0;0;0
aggregaat;0;0;0;0;0;0;0;0;0;0
aggregatie;0;0;0;0;0;0;0;0;0;0
agitatie;0;1;0;0;0;0;0;0;1;0
agnostisch;0;0;0;0;0;0;0;0;0;0
agrarisch;0;0;0;0;0;0;0;0;0;0
agressie;0;1;0;0;0;0;1;0;1;0
agressief;0;1;0;0;0;0;1;0;1;0
agressor;0;1;0;0;0;0;1;0;1;0
agua;0;0;0;0;0;0;0;0;0;0
ail;0;1;0;0;0;1;0;0;0;0
airbag;0;0;0;0;0;0;0;0;0;0
airs;0;1;0;0;0;0;0;1;0;0
ait;0;0;0;0;0;0;0;0;0;0
akkoord;1;0;1;0;0;0;0;0;0;0
akkoorden;0;0;0;0;0;0;0;0;0;0
akoestiek;0;0;0;0;0;0;0;0;0;0
akoestisch;0;0;0;0;0;0;0;0;0;0
alarm;0;1;0;1;0;0;1;0;0;0
albast;1;0;0;0;0;0;0;0;0;0
albe;0;0;1;0;0;0;0;0;0;0
album;0;0;0;0;0;0;0;0;0;0
alchimie;0;0;0;0;0;0;0;0;0;0
alcohol;0;0;0;0;0;0;0;0;0;0
alcoholisme;0;1;0;0;0;1;1;1;1;0
alfabet;0;0;0;0;0;0;0;0;0;0
alfabetisch;0;0;0;0;0;0;0;0;0;0
algebra;0;0;0;0;0;0;0;0;0;0
algebraïsch;0;0;0;0;0;0;0;0;0;0
algemeen;1;0;1;0;0;0;0;0;0;0
algoritme;0;0;0;0;0;0;0;0;0;0
alibi;0;0;0;0;0;0;0;0;0;0
alimentatie;0;1;0;0;0;0;0;0;0;0
alkali;0;0;0;0;0;0;0;0;0;0
alkaloïden;0;0;0;0;0;0;0;0;0;0
alkoof;0;0;0;0;0;0;0;0;0;0
alledaags;0;0;1;0;0;0;0;0;0;1
allegorie;0;0;0;0;0;0;0;0;0;0
allegorisch;0;0;0;0;0;0;0;0;0;0
allegro;1;0;0;0;0;0;0;0;0;0
alligator;0;0;0;0;0;0;0;0;0;0
alluviaal;0;0;0;0;0;0;0;0;0;0
almachtig;1;0;0;0;0;0;0;0;0;0
almanak;0;0;0;0;0;0;0;0;0;0
aloha;1;0;0;0;1;0;0;0;0;1
alt;0;0;0;0;0;0;0;0;0;0
altaar;0;0;0;0;0;0;0;0;0;0
alternatief;0;0;0;0;0;0;0;0;0;0
altijd;0;0;0;0;0;0;0;0;0;0
altviool;0;0;0;0;0;0;0;0;0;0
alveolaar;0;0;0;0;0;0;0;0;0;0
amalgaam;0;0;0;0;0;0;0;0;0;0
amateur;0;0;0;0;0;0;0;0;0;0
ambacht;1;0;0;0;0;0;0;0;0;0
ambachtsman;1;0;0;0;0;0;0;0;0;0
ambassade;0;0;0;0;0;0;0;0;0;0
ambassadeur;1;0;1;0;0;0;0;0;0;0
amber;0;0;0;0;0;0;0;0;0;0
ambitie;1;0;1;0;1;0;0;0;0;1
ambitieus;0;0;0;0;0;0;0;0;0;0
ambulance;0;0;1;0;0;0;1;0;0;0
amen;1;0;1;0;1;0;0;0;0;0
amenderen;1;0;0;0;0;0;0;0;0;0
amethist;0;0;0;0;0;0;0;0;0;0
amfetaminen;0;1;0;0;0;0;0;1;0;0
amfibie;0;0;0;0;0;0;0;0;0;0
amfibisch;0;0;0;0;0;0;0;0;0;0
amfitheater;0;0;0;0;0;0;0;0;0;0
ammonia;0;0;0;0;0;0;0;1;0;0
amnestie;1;0;0;0;1;0;0;0;0;0
amorfe;0;0;0;0;0;0;0;0;0;0
amortisatie;0;0;1;0;0;0;0;0;0;0
amour;1;0;1;0;1;0;0;0;0;1
ampersand;0;0;0;0;0;0;0;0;0;0
amplitude;0;0;0;0;0;0;0;0;0;0
amputatie;0;0;0;0;0;0;0;0;0;0
amulet;0;0;0;0;0;0;0;0;0;0
amusement;1;0;0;0;1;0;0;0;0;0
amuseren;1;0;0;0;1;0;0;0;0;0
anaal;0;1;0;0;0;0;0;0;0;0
anaconda;0;1;0;0;0;0;1;1;0;0
analogie;0;0;0;0;0;0;0;0;0;0
analoog;0;0;0;0;0;0;0;0;0;0
analyse;0;0;0;0;0;0;0;0;0;0
analyser;0;0;0;0;0;0;0;0;0;0
analyseren;0;0;0;0;0;0;0;0;0;0
analyst;1;0;1;0;0;0;0;0;0;1
analytisch;0;0;0;0;0;0;0;0;0;0
ananas;0;0;0;0;0;0;0;0;0;0
anarchie;0;1;0;0;0;0;1;0;1;0
anarchisme;0;1;0;0;0;0;1;0;1;0
anarchist;0;1;0;0;0;0;1;0;1;0
anastomose;0;0;0;0;0;0;0;0;0;0
anathema;0;1;0;0;0;1;1;1;1;0
anatomie;0;0;0;0;0;0;0;0;0;0
anatomisch;0;0;0;0;0;0;0;0;0;0
anders;0;0;0;1;0;0;0;0;0;0
androgeen;0;0;0;0;0;0;0;0;0;0
anemoon;0;0;0;0;0;0;0;0;0;0
anesthesie;0;0;0;0;0;0;0;0;0;0
angina;0;1;0;0;0;0;1;0;0;0
angiografie;0;0;0;0;0;0;0;0;0;0
angst;0;1;0;0;0;1;1;0;1;1
angstig;0;1;0;0;0;1;1;0;0;1
animatie;0;0;0;0;0;0;0;0;0;0
animositeit;0;1;0;0;0;0;0;0;1;0
anjer;0;0;0;0;0;0;0;0;0;0
anker;1;0;0;0;0;0;0;0;0;0
ankerplaats;1;0;0;0;0;1;0;0;0;0
annalen;0;0;0;0;0;0;0;0;0;0
annexatie;0;0;0;0;0;0;0;0;0;0
annoteren;0;0;0;0;0;0;0;0;0;0
annuleren;0;1;0;0;0;1;0;0;0;0
annulering;0;0;0;0;0;0;0;0;0;0
annulus;0;0;0;0;0;0;0;0;0;0
anoniem;0;1;0;0;0;0;0;0;0;0
antagonisme;0;1;0;0;0;0;0;0;1;0
antagonist;0;1;0;0;0;0;0;0;1;0
ante;0;0;0;0;0;0;0;0;0;0
antecedent;0;0;0;0;0;0;0;0;0;0
antenne;0;0;0;0;0;0;0;0;0;0
antibiotica;1;0;0;0;0;0;0;0;0;0
antibioticum;0;0;0;0;0;0;0;0;0;0
antichrist;0;1;0;0;0;0;1;1;1;0
antiek;1;0;0;0;0;0;0;0;0;0
antifungale;1;0;1;0;0;0;0;0;0;0
antilope;0;0;0;0;0;0;0;0;0;0
antimonium;0;0;0;0;0;0;0;0;0;0
antipathie;0;1;0;0;0;0;0;1;1;0
antiquair;0;0;0;0;0;0;0;0;0;0
antiseptisch;1;0;1;0;0;0;0;0;0;0
antisociaal;0;1;0;0;0;1;1;1;1;0
antivirale;0;0;0;0;0;0;0;0;0;0
antropologie;0;0;0;0;0;0;0;0;0;0
antwoord;0;0;0;0;0;0;0;0;0;0
antwoordapparaat;0;0;0;0;0;0;0;0;0;0
antwoorden;0;0;0;0;0;0;0;0;0;0
aorta;0;0;0;0;0;0;0;0;0;0
apache;0;1;0;0;0;0;1;0;0;0
apart;0;0;0;0;0;0;0;0;0;0
apathie;0;1;0;0;0;1;0;0;0;0
apathisch;0;1;0;0;0;1;0;0;0;0
aplomb;1;0;0;0;0;0;0;0;0;0
apocalyptische;0;0;0;0;0;0;0;0;0;0
apologeet;0;0;0;0;0;0;0;0;0;0
apostel;1;0;1;0;0;0;0;0;0;0
apostolisch;0;0;1;0;0;0;0;0;0;0
apostrof;0;0;0;0;0;0;0;0;0;0
apotheek;0;0;0;0;0;0;0;0;0;0
apparaat;0;0;0;0;0;0;0;0;0;0
appartement;0;0;0;0;0;0;0;0;0;0
appel;0;0;0;0;0;0;0;0;0;0
appellant;0;0;0;0;0;0;0;0;0;0
appendicitis;0;1;0;0;0;1;1;0;0;0
appendix;0;0;0;0;0;0;0;0;0;0
applaus;1;0;1;1;1;0;0;0;0;0
aqua;0;0;0;0;0;0;0;0;0;0
aquamarijn;0;0;0;0;0;0;0;0;0;0
aquarium;0;0;0;0;0;0;0;0;0;0
aquatisch;0;0;0;0;0;0;0;0;0;0
arbeid;1;0;1;1;1;0;0;0;0;1
arbiter;0;0;1;0;0;0;0;0;0;0
arbitrage;0;0;0;0;0;0;0;0;0;1
archeologische;0;0;0;0;0;0;0;0;0;0
archeoloog;0;0;0;0;0;0;0;0;0;0
archetype;0;0;0;0;0;0;0;0;0;0
archief;0;0;0;0;0;0;0;0;0;0
archipel;0;0;0;0;0;0;0;0;0;0
architect;0;0;0;0;0;0;0;0;0;0
architectuur;0;0;1;0;0;0;0;0;0;0
arctisch;0;0;0;0;0;0;0;0;0;0
arena;0;0;0;0;0;0;0;0;0;0
argument;0;1;0;0;0;0;0;0;1;0
argumenten;0;0;0;0;0;0;0;0;1;0
argumenteren;0;1;0;0;0;0;0;0;1;0
aristocraat;0;0;0;0;0;0;0;0;0;0
aristocratie;1;0;0;0;0;0;0;0;0;0
aristocratisch;1;0;0;0;0;0;0;0;0;0
ark;0;0;0;0;0;0;0;0;0;0
arm;0;0;0;0;0;0;0;0;0;0
armaturen;0;0;0;0;0;0;0;0;0;0
armatuur;1;0;0;0;0;0;0;0;0;0
armband;0;0;0;0;0;0;0;0;0;0
armen;0;0;0;0;0;0;0;0;0;0
armoede;0;1;0;0;0;1;1;1;1;0
aroma;1;0;0;0;0;0;0;0;0;0
arousal;0;0;0;0;0;0;0;0;0;0
arrangement;0;0;0;0;0;0;0;0;0;0
arresteren;0;1;0;0;0;0;0;0;0;0
arrogant;0;1;0;0;0;0;0;1;1;0
arrogantie;0;1;0;0;0;0;0;0;0;0
arsenaal;0;0;0;0;0;0;0;0;0;0
arsenicum;0;1;0;0;0;1;1;1;0;0
articulatie;1;0;0;0;0;0;0;0;0;0
articuleren;1;0;0;0;0;0;0;0;0;0
artiest;1;0;0;0;0;0;0;0;0;0
artikel;0;0;0;0;0;0;0;0;0;0
artikels;0;0;0;0;0;0;0;0;0;0
artillerie;0;1;0;0;0;0;1;0;0;0
artisjok;0;0;0;0;0;0;0;0;0;0
artistiek;1;0;0;0;0;0;0;0;0;0
as;0;1;0;0;0;1;0;0;0;0
ascetisch;0;0;0;0;0;0;0;0;0;0
asfalt;0;0;0;0;0;0;0;0;0;0
asiel;0;1;0;0;0;0;1;0;0;0
aspartaam;0;0;0;0;0;0;0;0;0;0
aspect;0;0;0;0;0;0;0;0;0;0
aspecten;0;0;0;0;0;0;0;0;0;0
aspiratie;1;0;1;1;1;0;0;0;0;1
assessor;0;0;1;0;0;0;0;0;0;0
assimilatie;0;0;0;0;0;0;0;0;0;0
assimileren;0;0;0;0;0;0;0;0;0;0
assistent;0;0;0;0;0;0;0;0;0;0
associëren;1;0;1;0;0;0;0;0;0;0
assortiment;0;0;0;0;0;0;0;0;0;0
asterisk;0;0;0;0;0;0;0;0;0;0
asteroïden;0;0;0;0;0;0;0;0;0;0
astigmatisme;0;0;0;0;0;0;0;0;0;0
astraal;0;0;0;0;0;0;0;0;0;0
astrologie;0;0;0;0;0;0;0;0;0;0
astroloog;1;0;0;0;0;0;0;0;0;1
astronaut;1;0;0;0;0;0;0;0;0;0
astronomie;0;0;0;0;0;0;0;0;0;0
astronoom;1;0;0;0;0;0;0;0;0;1
asymmetrie;0;0;0;0;0;0;0;1;0;0
asymmetrisch;0;0;0;0;0;0;0;0;0;0
asymptotische;0;0;0;0;0;0;0;0;0;0
atelier;0;0;0;0;0;0;0;0;0;0
atheïsme;0;1;0;0;0;0;0;0;0;0
atheïst;0;0;0;0;0;0;0;0;0;0
atheïstische;0;0;0;0;0;0;0;0;0;0
atherosclerose;0;1;0;0;0;1;1;0;0;0
atlas;0;0;0;0;0;0;0;0;0;0
atleet;1;0;0;0;0;0;0;0;0;0
atletiek;0;0;0;0;0;0;0;0;0;0
atletisch;1;0;0;0;0;0;0;0;0;0
atmosfeer;0;0;0;0;0;0;0;0;0;0
atmosferisch;0;0;0;0;0;0;0;0;0;0
atol;0;0;0;0;0;0;0;0;0;0
atomair;0;0;0;0;0;0;0;0;0;0
atoom;1;0;0;0;0;0;0;0;0;0
atrium;0;0;0;0;0;0;0;0;0;0
atrofie;0;1;0;0;0;1;1;1;0;0
attent;1;0;1;0;0;0;0;0;0;0
attributie;0;0;0;0;0;0;0;0;0;0
attribuut;0;0;0;0;0;0;0;0;0;0
audit;0;0;0;0;0;0;0;0;0;0
auditie;0;0;0;0;0;0;0;0;0;0
augustus;1;0;0;0;0;0;0;0;0;0
aura;1;0;0;0;0;0;0;0;0;0
Aurora;0;0;0;0;0;0;0;0;0;0
auspiciën;0;0;0;0;0;0;0;0;0;0
auteur;1;0;1;0;0;0;0;0;0;0
auteurschap;0;0;0;0;0;0;0;0;0;0
auteursrecht;0;0;0;0;0;0;0;0;0;0
authenticatie;0;0;1;0;0;0;0;0;0;0
authentiek;1;0;1;0;1;0;0;0;0;0
auto;0;0;0;0;0;0;0;0;0;0
autobiografie;0;0;0;0;0;0;0;0;0;0
autocratisch;0;1;0;0;0;0;0;0;0;0
autograaf;0;0;0;0;0;0;0;0;0;0
automatisch;0;0;1;0;0;0;0;0;0;0
automobiel;0;0;0;0;0;0;0;0;0;0
autonomie;0;0;0;0;0;0;0;0;0;0
autoriteit;1;0;1;0;0;0;0;0;0;0
avatar;1;0;0;0;0;0;0;0;0;0
avocado;0;0;0;0;0;0;0;0;0;0
avond;0;0;0;0;0;0;0;0;0;0
avondklok;0;0;0;0;0;0;0;0;0;0
avondmaal;0;0;0;0;0;0;0;0;0;0
avonturier;0;0;0;0;0;0;0;0;0;0
avontuur;1;0;0;0;0;0;0;0;0;1
avontuurlijk;1;0;0;0;0;0;0;0;0;0
axiaal;0;0;0;0;0;0;0;0;0;0
axioma;0;0;1;0;0;0;0;0;0;0
